=== phase0 v5 start Mon Apr 13 20:25:48 UTC 2026
waiting for VBUSOK drop (unplug Mac)...
cable out Mon Apr 13 20:26:02 UTC 2026: GPIO107 HIGH, WD off, SOURCE, OTG on
DOUT=0x200008C0 DIN=0x2FFF2B47
t=77 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=78 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=79 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=80 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=81 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=82 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=83 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=84 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=85 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=86 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=87 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=88 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=89 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=90 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=91 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=92 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=93 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=94 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=95 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=96 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=97 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=98 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=99 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=100 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=101 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=102 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=103 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=104 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=105 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=106 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=107 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=108 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=109 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
